codigo_categoria,categoria,nome,definicao,como_implementado,aplicacoes_praticas,indicadores_relacionados,referencias,imagens,referencias_completas
1, Completáveis,Ação desbloqueada por jogador,Registro das ações desbloqueadas pelo jogador durante o jogo.,Marque a ação como desbloqueada quando o jogador a realizar. | acao.desbloqueada = true,Incentivar o jogador através de recompensas.; Medir a eficácia de elementos novos no jogo.,1; 9; 31,https://doi.org/10.5753/cbie.sbie.2020.622; https://doi.org/10.1016/j.csi.2016.09.014,,"Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Serrano-Laguna, Ángel, et al. ""Applying standards to systematize learning analytics in serious games."" Computer Standards & Interfaces 50 (2017): 116-123."
1, Completáveis,Posição atual do jogador,Localização atual do jogador dentro do jogo.,Atualize a posição do jogador conforme ele se move. | posicaoAtual = novaPosicao,Avaliar o progresso dos jogadores em tempo real.; Identificar áreas de interesse dos jogadores.,1; 9; 28,https://ieeexplore.ieee.org/document/8520778; https://ieeexplore.ieee.org/document/9319386,,"Calvo-Morata, Antonio, et al. ""Validation of a cyberbullying serious game using game analytics."" IEEE Transactions on Learning Technologies 13.1 (2018): 186-197.; Qasrawi, Radwan, Malak Amro, and Rashid Jayousi. ""Automatic analytics model for learning skills analysis using game player data and robotic process automation in a serious game for education."" 2020 International Conference on Promising Electronic Technologies (ICPET). IEEE, 2020."
2, Rastreamento de Tempo,Tempo de jogadores em tarefas ou fases,Tempo gasto pelos jogadores em tarefas ou fases específicas.,Registre o tempo desde o início até a conclusão da tarefa ou fase. | tempoTarefa = fim - inicio,Avaliar a dificuldade das tarefas.; Identificar tarefas onde os jogadores gastam mais tempo.; Ajustar o tempo de jogo.,14; 16; 30,https://doi.org/10.5753/cbie.sbie.2020.622; https://doi.org/10.1109/ACCESS.2019.2938365; https://ieeexplore.ieee.org/document/8001739; https://ieeexplore.ieee.org/document/7942988; https://doi.org/10.17083/ijsg.v9i4.554; https://doi.org/10.1109/LACLO54177.2021.00014; https://dialnet.unirioja.es/servlet/articulo?codigo=9033446; https://doi.org/10.1007/s40593-020-00202-6,14-Cano et al (2019).png,"Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Cano, Ana Rus, et al. ""Game analytics evidence-based evaluation of a learning game for intellectual disabled users."" IEEE access 7 (2019): 123820-123829.; Tlili, A., et al. ""A smart educational game to model personality using learning analytics. In2017 IEEE 17th International conference on advanced learning technologies (ICALT) 2017 Jul 3 (pp. 131-135)."" IEEE. doi 10.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017.; Cruz, Paola Julie Aguilar. ""Understanding students engagement with a Serious Game to learn English: A sociocultural perspective."" International Journal of Serious Games 9.4 (2022): 137-152.; Torcate, Arianne Sarmento, and Cleyton Mario de Oliveira Rodrigues. ""Educational Data Mining with Learning Analytics and Unsupervised Algorithms: Analysis and Diagnosis in Basic Education."" 2021 XVI Latin American Conference on Learning Technologies (LACLO). IEEE, 2021.; Tlili, Ahmed, et al. ""A smart collaborative educational game with learning analytics to support english vocabulary teaching."" IJIMAI 6.6 (2021): 215-224.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503."
2, Rastreamento de Tempo,Tempo de jogadores no total,Tempo total gasto pelos jogadores no jogo.,Acumule o tempo de todas as sessões de jogo. | tempoTotalJogo += tempoSessao,Avaliar o nível de engajamento dos jogadores.; Ajustar o tempo de jogo.,13; 18,https://doi.org/10.1016/j.cag.2022.01.002; https://doi.org/10.5753/cbie.sbie.2020.622; https://doi.org/10.1109/ACCESS.2019.2938365; https://ieeexplore.ieee.org/document/9446995; https://doi.org/10.1007/978-3-319-05834-4_5; https://www.learntechlib.org/p/182231/,15-Zapata_Caceres (2021).png,"Sharma, Vandit, et al. ""The design and evaluation of an AR-based serious game to teach programming."" Computers & Graphics 103 (2022): 1-18.; Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Cano, Ana Rus, et al. ""Game analytics evidence-based evaluation of a learning game for intellectual disabled users."" IEEE access 7 (2019): 123820-123829.; Ruipérez-Valiente, José A., et al. ""Ideating and developing a visualization dashboard to support teachers using educational games in the classroom."" IEEE access 9 (2021): 83467-83481.; Loh, Christian Sebastian, and Yanyan Sheng. ""Measuring expert performance for serious games analytics: From data to insights."" Serious games analytics: Methodologies for performance measurement, assessment, and improvement (2015): 101-134.; Slimani, Abdelali, et al. ""Learning analytics through serious games: Data mining algorithms for performance measurement and improvement purposes."" International Journal of Emerging Technologies in Learning (iJET) 13.1 (2018): 46-64."
2, Rastreamento de Tempo,Tempo de inatividade,Tempo que o jogador passa inativo no jogo.,Registre períodos sem interação do jogador. | tempoInatividade += tempo,Identificar momentos de desinteresse.; Melhorar a interatividade do jogo.,16; 17,https://doi.org/10.1109/ACCESS.2019.2938365; https://doi.org/10.1007/s11423-022-10138-4,16-Cano et al (2019).png,"Cano, Ana Rus, et al. ""Game analytics evidence-based evaluation of a learning game for intellectual disabled users."" IEEE access 7 (2019): 123820-123829.; Lee, Ji-Eun, et al. ""Does slow and steady win the race?: Clustering patterns of students behaviors in an interactive online mathematics game."" Educational technology research and development 70.5 (2022): 1575-1599."
2, Rastreamento de Tempo,Tempo de atividade,Tempo que o jogador passa ativo no jogo.,Registre períodos com interação ativa do jogador. | tempoAtividade += tempo,Medir o engajamento ativo dos jogadores.; Identificar momentos de interesse.,13; 14; 15,https://doi.org/10.1109/TLT.2020.2968234; https://ieeexplore.ieee.org/document/7942988,,"Ruiperez-Valiente, Jose A., et al. ""Patterns of engagement in an educational massively multiplayer online game: A multidimensional view."" IEEE Transactions on Learning Technologies 13.4 (2020): 648-661.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017."
2, Rastreamento de Tempo,Tempo para desistência,Tempo até o jogador desistir de uma tarefa ou fase.,Registre o tempo desde o início até a desistência. | tempoParaDesistencia = desistir - inicio,Identificar tarefas desmotivadoras.; Fornecer feedback para melhorar o design do jogo.,13; 15,https://doi.org/10.1145/2656719.2656729,,"Shoukry, Laila, Stefan Göbel, and Ralf Steinmetz. ""Learning analytics and serious games: Trends and considerations."" Proceedings of the 2014 ACM International Workshop on Serious Games. 2014."
2, Rastreamento de Tempo,Horários de pico de uso,Horários em que o jogo é mais utilizado.,Registre os horários de maior atividade no jogo. | horarioPico = calculaHorarioPica(horarios),Planejar manutenção e atualizações do jogo.; Identificar padrões de uso dos jogadores.,14; 19,https://ieeexplore.ieee.org/document/7942988,,"Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017."
2, Rastreamento de Tempo,Horário de início de uma atividade,Horário em que o jogador inicia uma nova atividade.,Registre o horário de início de cada atividade. | horarioInicioAtividade.append(horario),Identificar padrões de uso dos jogadores.; Personalizar a experiência de jogo com base no horário de início.,18; 14,https://doi.org/10.1111/bjet.12916,,"Niemelä, Marko, et al. ""Game learning analytics for understanding reading skills in transparent writing system."" British Journal of Educational Technology 51.6 (2020): 2376-2390."
3, Experiência do Usuário,Cliques,Número de cliques feitos pelo jogador durante o jogo.,Incremente o valor por 1 a cada clique registrado. | cliques += 1,Avaliar a usabilidade e interatividade do jogo.; Identificar interação dos jogadores.; Fornecer feedback para melhorar o design do jogo.,21; 22,https://doi.org/10.1109/ACCESS.2019.2938365; https://ieeexplore.ieee.org/document/7942988; https://ieeexplore.ieee.org/document/9446995; https://doi.org/10.1007/s40593-020-00202-6; https://www.learntechlib.org/p/182231/,,"Cano, Ana Rus, et al. ""Game analytics evidence-based evaluation of a learning game for intellectual disabled users."" IEEE access 7 (2019): 123820-123829.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017.; Ruipérez-Valiente, José A., et al. ""Ideating and developing a visualization dashboard to support teachers using educational games in the classroom."" IEEE access 9 (2021): 83467-83481.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503.; Slimani, Abdelali, et al. ""Learning analytics through serious games: Data mining algorithms for performance measurement and improvement purposes."" International Journal of Emerging Technologies in Learning (iJET) 13.1 (2018): 46-64."
3, Experiência do Usuário,Seleções de menu,Quantidade de vezes que os jogadores selecionam opções de menu.,Incremente o valor por 1 cada vez que uma opção de menu é selecionada. | selecoesMenu[opcao_selecao] += 1,Analisar a navegação dos jogadores.; Fornecer feedback para melhorar o design do jogo.,20; 22,https://ieeexplore.ieee.org/document/7942988,,"Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017."
3, Experiência do Usuário,Escolhas do usuário,Decisões feitas pelos jogadores no jogo.,Registre as escolhas feitas pelos jogadores. | escolhas.append(escolha),Identificar as decisões dos jogadores.; Fornecer feedback para melhorar o design do jogo.,20; 21; 29,https://doi.org/10.5753/cbie.sbie.2020.622; https://doi.org/10.1109/ACCESS.2019.2938365; https://ieeexplore.ieee.org/document/8001739; https://doi.org/10.1007/s40593-020-00202-6;  https://doi.org/10.1111/bjet.13198,,"Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Cano, Ana Rus, et al. ""Game analytics evidence-based evaluation of a learning game for intellectual disabled users."" IEEE access 7 (2019): 123820-123829.; Tlili, A., et al. ""A smart educational game to model personality using learning analytics. In2017 IEEE 17th International conference on advanced learning technologies (ICALT) 2017 Jul 3 (pp. 131-135)."" IEEE. doi 10.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503.; Saleh, Asmalina, et al. ""A learning analytics approach towards understanding collaborative inquiry in a problem‐based learning environment."" British Journal of Educational Technology 53.5 (2022): 1321-1342."
3, Experiência do Usuário,Número de acesso a recursos,Quantidade de vezes que os jogadores acessam recursos adicionais.,Incremente o valor por 1 cada vez que um recurso é acessado. | acessosRecursos[recurso] += 1,Identificar utilização de recursos.; Fornecer feedback para melhorar o design do jogo.,24; 22,https://www.learntechlib.org/p/182231/,24-Feltero (2023).png,"Slimani, Abdelali, et al. ""Learning analytics through serious games: Data mining algorithms for performance measurement and improvement purposes."" International Journal of Emerging Technologies in Learning (iJET) 13.1 (2018): 46-64."
3, Experiência do Usuário,Áreas exploradas,Partes do jogo que os jogadores acessam.,Registre as áreas que são exploradas pelos jogadores. | areasExploradas.append(area),Identificar áreas do jogo que os jogadores acessam.; Fornecer feedback para melhorar o design do jogo.,23; 22,https://doi.org/10.1109/TLT.2020.2968234; https://ieeexplore.ieee.org/document/8001739; https://doi.org/10.1007/s40593-020-00202-6,,"Ruiperez-Valiente, Jose A., et al. ""Patterns of engagement in an educational massively multiplayer online game: A multidimensional view."" IEEE Transactions on Learning Technologies 13.4 (2020): 648-661.; Tlili, A., et al. ""A smart educational game to model personality using learning analytics. In2017 IEEE 17th International conference on advanced learning technologies (ICALT) 2017 Jul 3 (pp. 131-135)."" IEEE. doi 10.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503."
3, Experiência do Usuário,Número de mensagens enviadas/recebidas no chat,Quantidade de mensagens trocadas pelos jogadores no chat do jogo.,Incremente o valor por 1 a cada mensagem enviada ou recebida. | mensagens += 1,Medir o nível de interação dos jogadores.; Melhorar as funcionalidades de comunicação do jogo.,2; 29,https://doi.org/10.1109/TLT.2020.2968234; https://dialnet.unirioja.es/servlet/articulo?codigo=9033446;  https://doi.org/10.1111/bjet.13198,,"Ruiperez-Valiente, Jose A., et al. ""Patterns of engagement in an educational massively multiplayer online game: A multidimensional view."" IEEE Transactions on Learning Technologies 13.4 (2020): 648-661.; Tlili, Ahmed, et al. ""A smart collaborative educational game with learning analytics to support english vocabulary teaching."" IJIMAI 6.6 (2021): 215-224.; Saleh, Asmalina, et al. ""A learning analytics approach towards understanding collaborative inquiry in a problem‐based learning environment."" British Journal of Educational Technology 53.5 (2022): 1321-1342."
3, Experiência do Usuário,Engajamento individual,Nível de interação do jogador de forma individual.,Registre atividades realizadas individualmente pelo jogador. | atividadesIndividuais.append(atividade),Avaliar de interesse individual.; Fornecer feedback para melhorar o design do jogo.,27; 20,https://doi.org/10.1111/bjet.13198,,"Saleh, Asmalina, et al. ""A learning analytics approach towards understanding collaborative inquiry in a problem‐based learning environment."" British Journal of Educational Technology 53.5 (2022): 1321-1342."
3, Experiência do Usuário,Engajamento coletivo,Nível de interação do jogador com outros jogadores.,Registre atividades realizadas em grupo ou com outros jogadores. | atividadesColetivas.append(atividade),Avaliar de interesse coletivo.; Fornecer feedback para melhorar o design do jogo.,26; 25,https://doi.org/10.1111/bjet.13198,28-Feltero (2023).png,"Saleh, Asmalina, et al. ""A learning analytics approach towards understanding collaborative inquiry in a problem‐based learning environment."" British Journal of Educational Technology 53.5 (2022): 1321-1342."
4, Dados de Jogadores,Fase alcançada,Nível mais alto alcançado pelo jogador.,"Registre o nível ou fase mais alta atingida pelo jogador. | faseMaisAlta = max(faseMaisAlta, faseAtual)",Avaliar a progressão e desempenho dos jogadores.; Ajustar a dificuldade das fases.,1; 12,https://www.learntechlib.org/p/182231/,29-Slimani (2018).png,"Slimani, Abdelali, et al. ""Learning analytics through serious games: Data mining algorithms for performance measurement and improvement purposes."" International Journal of Emerging Technologies in Learning (iJET) 13.1 (2018): 46-64."
